#HEADER,,,,,,,,,,,,,,,
#TITLES,,,,,,,,,,,,,,,
,,R1,R2,R3,R4,SG5_1,SG5_2,SG5_3,R6,R7,SG8_1,SG8_2,SG8_3,LVDT,Force[N]
17,0.032,1,1,1,1,-100.1,-34.94,30.086,1,1,-100.1,-34.94,30.086,0.0001,-0.00034
18,0.034,1,1,1,1,-114.15,-39.9,34.289,1,1,-114.15,-39.9,34.289,0.0001,-0.00034
19,0.036,1,1,1,1,-129.82,-45.415,38.989,1,1,-129.82,-45.415,38.989,0.0001,-0.00034
20,0.038,1,1,1,1,-147.24,-51.574,44.202,1,1,-147.24,-51.574,44.202,0.0001,-0.00034
21,0.04,1,1,1,1,-165.69,-58.124,49.712,1,1,-165.69,-58.124,49.712,0.0001,-0.00034
22,0.042,1,1,1,1,-183.64,-64.495,55.098,1,1,-183.64,-64.495,55.098,0.0001,-0.00034
23,0.044,1,1,1,1,-201.05,-70.661,60.335,1,1,-201.05,-70.661,60.335,0.0001,-0.00034
24,0.046,1,1,1,1,-218.29,-76.765,65.513,1,1,-218.29,-76.765,65.513,0.0001,-0.00034
25,0.048,1,1,1,1,-234.66,-82.571,70.453,1,1,-234.66,-82.571,70.453,0.0001,-0.00034
26,0.05,1,1,1,1,-250.4,-88.166,75.222,1,1,-250.4,-88.166,75.222,0.0001,-0.00034
27,0.052,1,1,1,1,-267.01,-94.091,80.244,1,1,-267.01,-94.091,80.244,0.0001,-0.00034
28,0.054,1,1,1,1,-285.01,-100.5,85.674,1,1,-285.01,-100.5,85.674,0.0001,-0.00034
29,0.056,1,1,1,1,-304.36,-107.36,91.518,1,1,-304.36,-107.36,91.518,0.0001,-0.00034
30,0.058,1,1,1,1,-325.98,-115.03,98.031,1,1,-325.98,-115.03,98.031,0.0001,-0.00034
31,0.06,1,1,1,1,-350.16,-123.63,105.29,1,1,-350.16,-123.63,105.29,0.0001,-0.00034
32,0.062,1,1,1,1,-375.8,-132.75,112.98,1,1,-375.8,-132.75,112.98,0.0001,-0.00034
33,0.064,1,1,1,1,-402.49,-142.24,121,1,1,-402.49,-142.24,121,0.0001,-0.00034
34,0.066,1,1,1,1,-430.22,-152.09,129.31,1,1,-430.22,-152.09,129.31,0.0001,-0.00034
35,0.068,1,1,1,1,-457.66,-161.83,137.54,1,1,-457.66,-161.83,137.54,0.0001,-0.00034
36,0.07,1,1,1,1,-483.74,-171.1,145.39,1,1,-483.74,-171.1,145.39,0.0001,-0.00034
37,0.072,1,1,1,1,-508.86,-180.05,152.95,1,1,-508.86,-180.05,152.95,0.0001,-0.00034
38,0.074,1,1,1,1,-533.07,-188.68,160.24,1,1,-533.07,-188.68,160.24,0.0001,-0.00034
39,0.076,1,1,1,1,-556.04,-196.85,167.18,1,1,-556.04,-196.85,167.18,0.0001,-0.00034
40,0.078,1,1,1,1,-578.65,-204.89,174.01,1,1,-578.65,-204.89,174.01,0.0001,-0.00034
41,0.08,1,1,1,1,-601.99,-213.19,181.05,1,1,-601.99,-213.19,181.05,0.0001,-0.00034
42,0.082,1,1,1,1,-625.94,-221.73,188.27,1,1,-625.94,-221.73,188.27,0.0001,-0.00034
43,0.084,1,1,1,1,-650.8,-230.58,195.77,1,1,-650.8,-230.58,195.77,0.0001,-0.00034
44,0.086,1,1,1,1,-677.38,-240.04,203.76,1,1,-677.38,-240.04,203.76,0.0001,-0.00034
45,0.088,1,1,1,1,-705.16,-249.91,212.09,1,1,-705.16,-249.91,212.09,0.0001,-0.00034
46,0.09,1,1,1,1,-733.02,-259.8,220.46,1,1,-733.02,-259.8,220.46,0.0001,-0.00034
47,0.092,1,1,1,1,-760.76,-269.66,228.79,1,1,-760.76,-269.66,228.79,0.0001,-0.00034
48,0.094,1,1,1,1,-787.91,-279.33,236.93,1,1,-787.91,-279.33,236.93,0.0001,-0.00034
49,0.096,1,1,1,1,-813.23,-288.33,244.54,1,1,-813.23,-288.33,244.54,0.0001,-0.00034
50,0.098,1,1,1,1,-836.53,-296.6,251.55,1,1,-836.53,-296.6,251.55,0.0001,-0.00034
51,0.1,1,1,1,1,-858.27,-304.32,258.1,1,1,-858.27,-304.32,258.1,0.0001,-0.00034
52,0.102,1,1,1,1,-878.23,-311.42,264.12,1,1,-878.23,-311.42,264.12,0.0001,-0.00034
53,0.104,1,1,1,1,-896.57,-317.95,269.67,1,1,-896.57,-317.95,269.67,0.0001,-0.00034
54,0.106,1,1,1,1,-914.58,-324.37,275.11,1,1,-914.58,-324.37,275.11,0.0001,-0.00034
55,0.108,1,1,1,1,-932.87,-330.87,280.62,1,1,-932.87,-330.87,280.62,0.0001,-0.00034
56,0.11,1,1,1,1,-961.13,-341.81,288.35,1,1,-961.13,-341.81,288.35,0.0001,-0.00034
57,0.112,1,1,1,1,-962.27,-344.16,287.76,1,1,-962.27,-344.16,287.76,0.0001,-0.00034
58,0.114,1,1,1,1,-871.51,-312.68,261.73,1,1,-871.51,-312.68,261.73,0.0001,-0.00034
59,0.116,1,1,1,1,-757.15,-271.31,228.96,1,1,-757.15,-271.31,228.96,0.0001,-0.00034
60,0.118,1,1,1,1,-699.59,-250.36,211.23,1,1,-699.59,-250.36,211.23,0.0001,-0.00034
61,0.12,1,1,1,1,-633.17,-226.58,191.53,1,1,-633.17,-226.58,191.53,0.0001,-0.00034
62,0.122,1,1,1,1,-554.2,-198.85,169.26,1,1,-554.2,-198.85,169.26,0.0001,-0.00034
63,0.124,1,1,1,1,-560.69,-202.4,170.65,1,1,-560.69,-202.4,170.65,0.0001,-0.00034
64,0.126,1,1,1,1,-621.91,-224.37,187.63,1,1,-621.91,-224.37,187.63,0.0001,-0.00034
65,0.128,1,1,1,1,-656.18,-234.66,198.24,1,1,-656.18,-234.66,198.24,0.0001,-0.00034
66,0.13,1,1,1,1,-709.03,-252.19,213.82,1,1,-709.03,-252.19,213.82,0.0001,-0.00034
67,0.132,1,1,1,1,-786.94,-280.79,235.41,1,1,-786.94,-280.79,235.41,0.0001,-0.00034
68,0.134,1,1,1,1,-791.06,-283.09,236.45,1,1,-791.06,-283.09,236.45,0.0001,-0.00034
69,0.136,1,1,1,1,-731.9,-261.69,219.59,1,1,-731.9,-261.69,219.59,0.0001,-0.00034
70,0.138,1,1,1,1,-681.76,-243.29,203.94,1,1,-681.76,-243.29,203.94,0.0001,-0.00034
71,0.14,1,1,1,1,-587.78,-209.26,175.58,1,1,-587.78,-209.26,175.58,0.0001,-0.00034
72,0.142,1,1,1,1,-420.2,-149.44,126.94,1,1,-420.2,-149.44,126.94,0.0001,-0.00034
73,0.144,1,1,1,1,-277.19,-99.799,84.575,1,1,-277.19,-99.799,84.575,0.0001,-0.00034
74,0.146,1,1,1,1,-180.73,-66.667,55.023,1,1,-180.73,-66.667,55.023,0.0001,-0.00034
75,0.148,1,1,1,1,-73.796,-27.655,23.723,1,1,-73.796,-27.655,23.723,0.0001,-0.00034
76,0.15,1,1,1,1,-4.811,-1.5675,3.6154,1,1,-4.811,-1.5675,3.6154,0.0001,-0.00034
77,0.152,1,1,1,1,-17.955,-6.3435,6.2038,1,1,-17.955,-6.3435,6.2038,0.0001,-0.00034
78,0.154,1,1,1,1,-33.158,-12.44,10.007,1,1,-33.158,-12.44,10.007,0.0001,-0.00034
79,0.156,1,1,1,1,-27.433,-10.346,8.6273,1,1,-27.433,-10.346,8.6273,0.0001,-0.00034
80,0.158,1,1,1,1,-59.555,-21.324,17.209,1,1,-59.555,-21.324,17.209,0.0001,-0.00034
81,0.16,1,1,1,1,-80.837,-27.978,22.336,1,1,-80.837,-27.978,22.336,0.0001,-0.00034
82,0.162,1,1,1,1,-18.852,-4.8765,4.3617,1,1,-18.852,-4.8765,4.3617,0.0001,-0.00034
83,0.164,1,1,1,1,71.497,26.806,-22.349,1,1,71.497,26.806,-22.349,0.0001,-0.00034
84,0.166,1,1,1,1,159.69,56.706,-49.462,1,1,159.69,56.706,-49.462,0.0001,-0.00034
85,0.168,1,1,1,1,300.05,106.65,-90.843,1,1,300.05,106.65,-90.843,0.0001,-0.00034
86,0.17,1,1,1,1,457.43,163.87,-136.68,1,1,457.43,163.87,-136.68,0.0001,-0.00034
87,0.172,1,1,1,1,556.3,199.3,-166.59,1,1,556.3,199.3,-166.59,0.0001,-0.00034
88,0.174,1,1,1,1,633.91,226.29,-190.09,1,1,633.91,226.29,-190.09,0.0001,-0.00034
89,0.176,1,1,1,1,711.53,253.49,-212.48,1,1,711.53,253.49,-212.48,0.0001,-0.00034
90,0.178,1,1,1,1,717.81,255.55,-214.73,1,1,717.81,255.55,-214.73,0.0001,-0.00034
91,0.18,1,1,1,1,664.29,237.04,-200.06,1,1,664.29,237.04,-200.06,0.0001,-0.00034
92,0.182,1,1,1,1,631.01,226.6,-190.15,1,1,631.01,226.6,-190.15,0.0001,-0.00034
93,0.184,1,1,1,1,599.99,216.03,-180.88,1,1,599.99,216.03,-180.88,0.0001,-0.00034
94,0.186,1,1,1,1,547.86,196.39,-166.53,1,1,547.86,196.39,-166.53,0.0001,-0.00034
95,0.188,1,1,1,1,543.73,194.43,-165.59,1,1,543.73,194.43,-165.59,0.0001,-0.00034
96,0.19,1,1,1,1,596.78,214.2,-180.57,1,1,596.78,214.2,-180.57,0.0001,-0.00034
97,0.192,1,1,1,1,643.32,231.36,-194.61,1,1,643.32,231.36,-194.61,0.0001,-0.00034
98,0.194,1,1,1,1,704.51,252.84,-213.11,1,1,704.51,252.84,-213.11,0.0001,-0.00034
99,0.196,1,1,1,1,811.2,290.24,-243.82,1,1,811.2,290.24,-243.82,0.0001,-0.00034
100,0.198,1,1,1,1,889.96,317.46,-266.72,1,1,889.96,317.46,-266.72,0.0001,-0.00034
101,0.2,1,1,1,1,906.18,322.85,-272.1,1,1,906.18,322.85,-272.1,0.0001,-0.00034
102,0.202,1,1,1,1,911.54,325.67,-273.39,1,1,911.54,325.67,-273.39,0.0001,-0.00034
103,0.204,1,1,1,1,890.35,318.97,-266.5,1,1,890.35,318.97,-266.5,0.0001,-0.00034
104,0.206,1,1,1,1,800.5,286.31,-240.53,1,1,800.5,286.31,-240.53,0.0001,-0.00034
105,0.208,1,1,1,1,696.97,248.64,-210.33,1,1,696.97,248.64,-210.33,0.0001,-0.00034
106,0.21,1,1,1,1,617.88,220.95,-186.32,1,1,617.88,220.95,-186.32,0.0001,-0.00034
107,0.212,1,1,1,1,522.61,187.82,-158.22,1,1,522.61,187.82,-158.22,0.0001,-0.00034
108,0.214,1,1,1,1,434.32,156.68,-132.64,1,1,434.32,156.68,-132.64,0.0001,-0.00034
109,0.216,1,1,1,1,414.73,149.62,-126.2,1,1,414.73,149.62,-126.2,0.0001,-0.00034
110,0.218,1,1,1,1,426.52,153.06,-128.97,1,1,426.52,153.06,-128.97,0.0001,-0.00034
111,0.22,1,1,1,1,426.03,151.92,-129.04,1,1,426.03,151.92,-129.04,0.0001,-0.00034
112,0.222,1,1,1,1,450.06,160.67,-135.7,1,1,450.06,160.67,-135.7,0.0001,-0.00034
113,0.224,1,1,1,1,487.46,174.78,-145.64,1,1,487.46,174.78,-145.64,0.0001,-0.00034
114,0.226,1,1,1,1,473.74,169.49,-141.47,1,1,473.74,169.49,-141.47,0.0001,-0.00034
115,0.228,1,1,1,1,424.74,150.93,-127.1,1,1,424.74,150.93,-127.1,0.0001,-0.00034
116,0.23,1,1,1,1,371.65,131.77,-110.6,1,1,371.65,131.77,-110.6,0.0001,-0.00034
117,0.232,1,1,1,1,270.79,96.28,-80.447,1,1,270.79,96.28,-80.447,0.0001,-0.00034
118,0.234,1,1,1,1,123.15,44.189,-37.28,1,1,123.15,44.189,-37.28,0.0001,-0.00034
119,0.236,1,1,1,1,-1.3408,0.32316,-0.14893,1,1,-1.3408,0.32316,-0.14893,0.0001,-0.00034
120,0.238,1,1,1,1,-102.28,-35.807,30.344,1,1,-102.28,-35.807,30.344,0.0001,-0.00034
121,0.24,1,1,1,1,-209.59,-74.922,61.814,1,1,-209.59,-74.922,61.814,0.0001,-0.00034
122,0.242,1,1,1,1,-278.82,-99.726,82.358,1,1,-278.82,-99.726,82.358,0.0001,-0.00034
123,0.244,1,1,1,1,-289.73,-102.79,86.588,1,1,-289.73,-102.79,86.588,0.0001,-0.00034
124,0.246,1,1,1,1,-294.68,-104.45,88.431,1,1,-294.68,-104.45,88.431,0.0001,-0.00034
125,0.248,1,1,1,1,-296.06,-105.9,88.8,1,1,-296.06,-105.9,88.8,0.0001,-0.00034
126,0.25,1,1,1,1,-266.98,-96.3,81.056,1,1,-266.98,-96.3,81.056,0.0001,-0.00034
127,0.252,1,1,1,1,-256.41,-92.754,78.666,1,1,-256.41,-92.754,78.666,0.0001,-0.00034
128,0.254,1,1,1,1,-301.01,-108.54,91.645,1,1,-301.01,-108.54,91.645,0.0001,-0.00034
129,0.256,1,1,1,1,-358.04,-128.35,108.73,1,1,-358.04,-128.35,108.73,0.0001,-0.00034
130,0.258,1,1,1,1,-422.23,-151.01,128.37,1,1,-422.23,-151.01,128.37,0.0001,-0.00034
131,0.26,1,1,1,1,-529.11,-189.76,159.72,1,1,-529.11,-189.76,159.72,0.0001,-0.00034
132,0.262,1,1,1,1,-643.68,-230.96,193.23,1,1,-643.68,-230.96,193.23,0.0001,-0.00034
133,0.264,1,1,1,1,-721.74,-257.97,216.8,1,1,-721.74,-257.97,216.8,0.0001,-0.00034
134,0.266,1,1,1,1,-788.17,-280.89,236.6,1,1,-788.17,-280.89,236.6,0.0001,-0.00034
135,0.268,1,1,1,1,-839.52,-299.42,251.36,1,1,-839.52,-299.42,251.36,0.0001,-0.00034
136,0.27,1,1,1,1,-829.99,-296.57,248.9,1,1,-829.99,-296.57,248.9,0.0001,-0.00034
137,0.272,1,1,1,1,-782.97,-280.24,235.62,1,1,-782.97,-280.24,235.62,0.0001,-0.00034
138,0.274,1,1,1,1,-745.02,-266.97,224.23,1,1,-745.02,-266.97,224.23,0.0001,-0.00034
139,0.276,1,1,1,1,-695.01,-248.87,209.5,1,1,-695.01,-248.87,209.5,0.0001,-0.00034
140,0.278,1,1,1,1,-630.28,-225.44,191.03,1,1,-630.28,-225.44,191.03,0.0001,-0.00034
141,0.28,1,1,1,1,-602.73,-216.18,182.85,1,1,-602.73,-216.18,182.85,0.0001,-0.00034
142,0.282,1,1,1,1,-611.36,-220.03,184.9,1,1,-611.36,-220.03,184.9,0.0001,-0.00034
143,0.284,1,1,1,1,-621.58,-223.36,188.12,1,1,-621.58,-223.36,188.12,0.0001,-0.00034
144,0.286,1,1,1,1,-654.3,-234.14,197.81,1,1,-654.3,-234.14,197.81,0.0001,-0.00034
145,0.288,1,1,1,1,-715.17,-255.46,215.06,1,1,-715.17,-255.46,215.06,0.0001,-0.00034
146,0.29,1,1,1,1,-749.92,-267.85,225.04,1,1,-749.92,-267.85,225.04,0.0001,-0.00034
147,0.292,1,1,1,1,-748.16,-267.35,224.7,1,1,-748.16,-267.35,224.7,0.0001,-0.00034
148,0.294,1,1,1,1,-740.31,-264.78,221.89,1,1,-740.31,-264.78,221.89,0.0001,-0.00034
149,0.296,1,1,1,1,-702.35,-250.99,210.22,1,1,-702.35,-250.99,210.22,0.0001,-0.00034
150,0.298,1,1,1,1,-611.72,-218.05,183.76,1,1,-611.72,-218.05,183.76,0.0001,-0.00034
151,0.3,1,1,1,1,-510.52,-182.14,153.84,1,1,-510.52,-182.14,153.84,0.0001,-0.00034
152,0.302,1,1,1,1,-417.17,-149.77,125.71,1,1,-417.17,-149.77,125.71,0.0001,-0.00034
153,0.304,1,1,1,1,-311.09,-112.29,94.412,1,1,-311.09,-112.29,94.412,0.0001,-0.00034
154,0.306,1,1,1,1,-220.63,-79.617,67.824,1,1,-220.63,-79.617,67.824,0.0001,-0.00034
155,0.308,1,1,1,1,-179.33,-64.518,54.981,1,1,-179.33,-64.518,54.981,0.0001,-0.00034
156,0.31,1,1,1,1,-155.76,-55.921,47.517,1,1,-155.76,-55.921,47.517,0.0001,-0.00034
157,0.312,1,1,1,1,-133.39,-47.903,40.894,1,1,-133.39,-47.903,40.894,0.0001,-0.00034
158,0.314,1,1,1,1,-139.12,-50.143,42.001,1,1,-139.12,-50.143,42.001,0.0001,-0.00034
159,0.316,1,1,1,1,-152.95,-54.888,45.252,1,1,-152.95,-54.888,45.252,0.0001,-0.00034
160,0.318,1,1,1,1,-132.09,-46.559,38.954,1,1,-132.09,-46.559,38.954,0.0001,-0.00034
161,0.32,1,1,1,1,-90.254,-31.14,26.41,1,1,-90.254,-31.14,26.41,0.0001,-0.00034
162,0.322,1,1,1,1,-38.105,-13.018,10.293,1,1,-38.105,-13.018,10.293,0.0001,-0.00034
163,0.324,1,1,1,1,53.886,19.289,-17.095,1,1,53.886,19.289,-17.095,0.0001,-0.00034
164,0.326,1,1,1,1,172.95,61.793,-52.078,1,1,172.95,61.793,-52.078,0.0001,-0.00034
165,0.328,1,1,1,1,276.01,98.705,-82.915,1,1,276.01,98.705,-82.915,0.0001,-0.00034
166,0.33,1,1,1,1,371.26,132.78,-111.45,1,1,371.26,132.78,-111.45,0.0001,-0.00034
167,0.332,1,1,1,1,467.96,167.25,-139.86,1,1,467.96,167.25,-139.86,0.0001,-0.00034
168,0.334,1,1,1,1,527.71,188.15,-157.74,1,1,527.71,188.15,-157.74,0.0001,-0.00034
169,0.336,1,1,1,1,543.73,193.59,-163.16,1,1,543.73,193.59,-163.16,0.0001,-0.00034
170,0.338,1,1,1,1,550.17,196.49,-165.24,1,1,550.17,196.49,-165.24,0.0001,-0.00034
171,0.34,1,1,1,1,543.12,194.79,-163.25,1,1,543.12,194.79,-163.25,0.0001,-0.00034
172,0.342,1,1,1,1,513.65,184.34,-155.22,1,1,513.65,184.34,-155.22,0.0001,-0.00034
173,0.344,1,1,1,1,500.15,179.26,-151.64,1,1,500.15,179.26,-151.64,0.0001,-0.00034
174,0.346,1,1,1,1,518.26,185.75,-156.86,1,1,518.26,185.75,-156.86,0.0001,-0.00034
175,0.348,1,1,1,1,541.68,194.25,-164.03,1,1,541.68,194.25,-164.03,0.0001,-0.00034
176,0.35,1,1,1,1,579.28,207.86,-175.49,1,1,579.28,207.86,-175.49,0.0001,-0.00034
177,0.352,1,1,1,1,651.2,233.65,-196.45,1,1,651.2,233.65,-196.45,0.0001,-0.00034
178,0.354,1,1,1,1,725.36,259.67,-218.15,1,1,725.36,259.67,-218.15,0.0001,-0.00034
179,0.356,1,1,1,1,776.05,277.02,-233.39,1,1,776.05,277.02,-233.39,0.0001,-0.00034
180,0.358,1,1,1,1,818.71,292.19,-245.89,1,1,818.71,292.19,-245.89,0.0001,-0.00034
181,0.36,1,1,1,1,841.95,301,-252.4,1,1,841.95,301,-252.4,0.0001,-0.00034
182,0.362,1,1,1,1,818.83,292.91,-245.79,1,1,818.83,292.91,-245.79,0.0001,-0.00034
183,0.364,1,1,1,1,770.91,275.62,-231.87,1,1,770.91,275.62,-231.87,0.0001,-0.00034
184,0.366,1,1,1,1,720.78,257.68,-216.81,1,1,720.78,257.68,-216.81,0.0001,-0.00034
185,0.368,1,1,1,1,652,233.25,-196.52,1,1,652,233.25,-196.52,0.0001,-0.00034
186,0.37,1,1,1,1,575.03,206.09,-174.09,1,1,575.03,206.09,-174.09,0.0001,-0.00034
187,0.372,1,1,1,1,527.38,189.57,-159.78,1,1,527.38,189.57,-159.78,0.0001,-0.00034
188,0.374,1,1,1,1,503.26,180.98,-152.28,1,1,503.26,180.98,-152.28,0.0001,-0.00034
189,0.376,1,1,1,1,484.68,173.71,-146.84,1,1,484.68,173.71,-146.84,0.0001,-0.00034
190,0.378,1,1,1,1,488.36,174.6,-147.69,1,1,488.36,174.6,-147.69,0.0001,-0.00034
191,0.38,1,1,1,1,510.08,182.52,-153.44,1,1,510.08,182.52,-153.44,0.0001,-0.00034
192,0.382,1,1,1,1,514.29,184.1,-154.41,1,1,514.29,184.1,-154.41,0.0001,-0.00034
193,0.384,1,1,1,1,500.29,178.81,-150.17,1,1,500.29,178.81,-150.17,0.0001,-0.00034
194,0.386,1,1,1,1,480.47,171.42,-143.77,1,1,480.47,171.42,-143.77,0.0001,-0.00034
195,0.388,1,1,1,1,430.44,153.33,-128.61,1,1,430.44,153.33,-128.61,0.0001,-0.00034
196,0.39,1,1,1,1,341.72,121.69,-102.48,1,1,341.72,121.69,-102.48,0.0001,-0.00034
197,0.392,1,1,1,1,245.85,87.976,-73.916,1,1,245.85,87.976,-73.916,0.0001,-0.00034
198,0.394,1,1,1,1,150.4,54.328,-45.276,1,1,150.4,54.328,-45.276,0.0001,-0.00034
199,0.396,1,1,1,1,45.968,16.827,-14.422,1,1,45.968,16.827,-14.422,0.0001,-0.00034
200,0.398,1,1,1,1,-42.395,-15.049,11.766,1,1,-42.395,-15.049,11.766,0.0001,-0.00034
201,0.4,1,1,1,1,-96.862,-34.359,28.422,1,1,-96.862,-34.359,28.422,0.0001,-0.00034
202,0.402,1,1,1,1,-137.74,-48.742,40.862,1,1,-137.74,-48.742,40.862,0.0001,-0.00034
203,0.404,1,1,1,1,-166.81,-59.222,49.595,1,1,-166.81,-59.222,49.595,0.0001,-0.00034
204,0.406,1,1,1,1,-168.83,-60.242,50.765,1,1,-168.83,-60.242,50.765,0.0001,-0.00034
205,0.408,1,1,1,1,-166.55,-59.893,50.695,1,1,-166.55,-59.893,50.695,0.0001,-0.00034
206,0.41,1,1,1,1,-186.5,-67.442,56.747,1,1,-186.5,-67.442,56.747,0.0001,-0.00034
207,0.412,1,1,1,1,-217.36,-78.36,66.165,1,1,-217.36,-78.36,66.165,0.0001,-0.00034
208,0.414,1,1,1,1,-258.63,-92.711,78.895,1,1,-258.63,-92.711,78.895,0.0001,-0.00034
209,0.416,1,1,1,1,-329.98,-118.23,100.08,1,1,-329.98,-118.23,100.08,0.0001,-0.00034
210,0.418,1,1,1,1,-417.88,-149.91,125.99,1,1,-417.88,-149.91,125.99,0.0001,-0.00034
211,0.42,1,1,1,1,-497.88,-178.39,149.94,1,1,-497.88,-178.39,149.94,0.0001,-0.00034
212,0.422,1,1,1,1,-577.18,-206.35,173.55,1,1,-577.18,-206.35,173.55,0.0001,-0.00034
213,0.424,1,1,1,1,-652.03,-232.81,195.54,1,1,-652.03,-232.81,195.54,0.0001,-0.00034
214,0.426,1,1,1,1,-693.46,-247.49,207.97,1,1,-693.46,-247.49,207.97,0.0001,-0.00034
215,0.428,1,1,1,1,-702.98,-251.09,211.18,1,1,-702.98,-251.09,211.18,0.0001,-0.00034
216,0.43,1,1,1,1,-701.66,-251.09,210.83,1,1,-701.66,-251.09,210.83,0.0001,-0.00034
217,0.432,1,1,1,1,-682.9,-244.57,205.39,1,1,-682.9,-244.57,205.39,0.0001,-0.00034
218,0.434,1,1,1,1,-646.02,-231.18,194.94,1,1,-646.02,-231.18,194.94,0.0001,-0.00034
219,0.436,1,1,1,1,-619.04,-221.57,187.13,1,1,-619.04,-221.57,187.13,0.0001,-0.00034
220,0.438,1,1,1,1,-608.96,-218.37,184.03,1,1,-608.96,-218.37,184.03,0.0001,-0.00034
221,0.44,1,1,1,1,-603.36,-216.59,182.53,1,1,-603.36,-216.59,182.53,0.0001,-0.00034
222,0.442,1,1,1,1,-614.9,-220.59,186.03,1,1,-614.9,-220.59,186.03,0.0001,-0.00034
223,0.444,1,1,1,1,-651.56,-233.4,196.54,1,1,-651.56,-233.4,196.54,0.0001,-0.00034
224,0.446,1,1,1,1,-687.31,-245.79,206.9,1,1,-687.31,-245.79,206.9,0.0001,-0.00034
225,0.448,1,1,1,1,-709.35,-253.46,213.45,1,1,-709.35,-253.46,213.45,0.0001,-0.00034
226,0.45,1,1,1,1,-726.89,-259.89,218.34,1,1,-726.89,-259.89,218.34,0.0001,-0.00034
227,0.452,1,1,1,1,-726.24,-259.78,217.82,1,1,-726.24,-259.78,217.82,0.0001,-0.00034
228,0.454,1,1,1,1,-691.05,-246.92,207.48,1,1,-691.05,-246.92,207.48,0.0001,-0.00034
229,0.456,1,1,1,1,-636.95,-227.4,191.46,1,1,-636.95,-227.4,191.46,0.0001,-0.00034
230,0.458,1,1,1,1,-573.76,-205.08,172.49,1,1,-573.76,-205.08,172.49,0.0001,-0.00034
231,0.46,1,1,1,1,-492.68,-176.49,148.49,1,1,-492.68,-176.49,148.49,0.0001,-0.00034
232,0.462,1,1,1,1,-409.13,-146.86,123.86,1,1,-409.13,-146.86,123.86,0.0001,-0.00034
233,0.464,1,1,1,1,-347.32,-124.82,105.28,1,1,-347.32,-124.82,105.28,0.0001,-0.00034
234,0.466,1,1,1,1,-300.1,-107.76,91.015,1,1,-300.1,-107.76,91.015,0.0001,-0.00034
235,0.468,1,1,1,1,-260.61,-93.388,79.249,1,1,-260.61,-93.388,79.249,0.0001,-0.00034
236,0.47,1,1,1,1,-242.31,-86.9,73.47,1,1,-242.31,-86.9,73.47,0.0001,-0.00034
237,0.472,1,1,1,1,-238.07,-85.499,71.639,1,1,-238.07,-85.499,71.639,0.0001,-0.00034
238,0.474,1,1,1,1,-224.88,-80.483,67.459,1,1,-224.88,-80.483,67.459,0.0001,-0.00034
239,0.476,1,1,1,1,-203.61,-72.414,60.907,1,1,-203.61,-72.414,60.907,0.0001,-0.00034
240,0.478,1,1,1,1,-175.79,-62.324,52.159,1,1,-175.79,-62.324,52.159,0.0001,-0.00034
